Date,peakMax,Mean,peakMin
2020-09-05 07:14:01,5.33,3.74,2.84
2020-09-05 07:17:40,6.41,4.31,1.88
2020-09-05 07:18:07,6.71,3.67,1.98
2020-09-05 07:23:01,5.58,4.36,2.63
2020-09-05 07:23:09,6.89,3.83,2.67
2020-09-05 07:37:52,6.97,4.77,1.11
2020-09-05 07:47:13,5.43,3.95,1.97
2020-09-05 07:53:41,6.89,4.36,2.89
2020-09-05 08:12:18,5.72,4.03,2.96
2020-09-05 08:15:53,6.51,4.78,1.35
2020-09-05 08:15:59,6.06,4.06,2.42
2020-09-05 08:16:39,5.24,3.7,2.28
2020-09-05 08:30:52,6.55,3.92,2.23
2020-09-05 08:37:11,5.55,4.24,1.08
2020-09-05 08:42:29,6.6,4.41,2.06
2020-09-05 08:47:24,5.22,3.39,1.35
2020-09-05 08:54:26,5.37,3.62,2.02
2020-09-05 09:07:43,6.37,3.43,1.7
2020-09-05 09:15:23,6.18,3.15,1.82
2020-09-05 09:16:38,6.0,4.63,1.28
2020-09-05 09:18:47,6.38,4.95,1.08
2020-09-05 09:20:02,6.85,3.97,1.55
2020-09-05 09:42:33,5.53,4.39,1.45
2020-09-05 09:49:01,5.53,3.83,1.53
2020-09-05 09:55:23,6.77,3.8,1.5
2020-09-05 09:57:44,6.26,3.21,2.64
2020-09-05 10:00:37,5.91,4.72,2.15
2020-09-05 10:09:47,6.05,3.23,1.37
2020-09-05 10:11:05,5.11,4.87,2.21
2020-09-05 10:12:09,6.57,4.77,1.5
2020-09-05 10:14:01,5.95,4.14,2.9
2020-09-05 10:16:03,6.48,4.23,2.21
2020-09-05 10:35:06,5.96,3.84,2.4
2020-09-05 10:45:16,5.54,4.75,2.75
2020-09-05 10:50:33,6.73,4.06,2.25
2020-09-05 10:59:52,5.66,3.16,1.85
2020-09-05 11:29:39,5.99,3.53,2.76
2020-09-05 11:34:21,5.98,4.94,2.2
2020-09-05 11:38:27,6.83,3.94,2.28
2020-09-05 11:46:21,5.09,3.5,2.37
2020-09-05 11:54:12,6.88,3.38,1.39
2020-09-05 11:56:59,5.12,4.69,1.18
2020-09-05 11:57:33,5.64,3.93,2.25
2020-09-05 11:58:06,5.2,3.32,1.93
2020-09-05 12:07:25,6.1,4.81,2.99
2020-09-05 12:09:06,6.2,3.65,1.12
2020-09-05 12:17:02,5.96,3.29,1.38
2020-09-05 12:25:30,6.12,3.51,1.52
2020-09-05 12:29:25,5.79,3.24,2.76
2020-09-05 12:34:43,5.36,3.84,2.29
2020-09-05 12:40:32,6.9,3.81,1.07
2020-09-05 12:48:48,6.87,4.82,1.05
2020-09-05 12:48:51,6.09,4.66,2.64
2020-09-05 12:59:15,6.04,3.02,2.6
2020-09-05 12:59:40,6.75,3.12,2.83
2020-09-05 13:01:40,6.3,3.95,1.25
2020-09-05 13:08:45,5.13,4.41,1.64
2020-09-05 13:11:05,6.65,3.67,1.13
2020-09-05 13:16:37,5.15,4.77,1.36
2020-09-05 13:18:29,5.53,4.67,2.44
2020-09-05 13:20:07,5.81,4.61,2.82
2020-09-05 13:27:09,5.52,4.65,2.91
2020-09-05 13:33:37,5.22,4.32,1.66
2020-09-05 13:34:14,6.7,4.19,1.4
2020-09-05 13:36:52,6.91,3.58,2.34
2020-09-05 13:37:10,6.29,4.4,2.86
2020-09-05 13:45:11,5.11,3.77,2.96
2020-09-05 13:50:59,5.74,3.76,1.8
2020-09-05 14:19:39,6.52,4.5,2.13
2020-09-05 14:32:25,5.79,3.96,2.42
2020-09-05 14:41:20,6.49,4.97,1.9
2020-09-05 14:41:44,6.2,3.92,1.98
2020-09-05 14:45:46,6.67,4.52,1.09
2020-09-05 14:53:07,6.13,4.09,2.71
2020-09-05 14:55:57,5.53,4.11,1.9
2020-09-05 15:03:22,6.27,4.65,1.72
2020-09-05 15:03:38,6.42,3.0,1.55
2020-09-05 15:05:32,6.01,4.54,1.9
2020-09-05 15:11:31,5.16,4.11,2.63
2020-09-05 15:11:32,5.93,3.04,2.04
2020-09-05 15:18:13,6.23,3.44,1.45
2020-09-05 15:24:52,5.52,3.59,2.08
2020-09-05 15:33:41,6.12,3.21,2.96
2020-09-05 15:33:53,6.44,3.18,1.46
2020-09-05 15:42:44,5.35,4.42,2.08
2020-09-05 15:56:11,5.45,4.92,2.04
2020-09-05 15:59:59,6.14,3.09,1.5
2020-09-05 16:11:36,6.56,3.22,1.01
2020-09-05 16:15:50,6.11,4.29,2.73
2020-09-05 16:22:14,6.17,3.04,2.62
2020-09-05 16:30:38,6.4,4.77,2.92
2020-09-05 16:32:33,6.29,4.69,2.87
2020-09-05 16:34:41,5.65,3.87,1.55
2020-09-05 16:35:34,6.06,4.38,2.08
2020-09-05 16:37:13,6.59,3.84,2.59
2020-09-05 16:40:31,6.36,4.91,1.99
2020-09-05 16:52:37,5.02,3.85,2.35
2020-09-05 16:57:22,5.8,3.6,1.46
2020-09-05 17:05:12,5.76,3.29,1.19
2020-09-05 17:12:05,5.96,3.97,2.17
2020-09-05 17:13:45,6.16,3.54,1.93
2020-09-05 17:20:12,6.23,3.62,1.65
2020-09-05 17:23:04,6.58,4.62,2.93
2020-09-05 17:32:15,6.15,3.11,2.37
2020-09-05 17:32:51,6.82,4.95,1.46
2020-09-05 17:33:28,5.72,4.32,1.96
2020-09-05 17:36:20,5.84,4.88,2.2
2020-09-05 17:44:35,5.76,4.34,1.4
2020-09-05 17:53:47,5.71,4.53,2.65
2020-09-05 17:54:49,6.31,4.14,2.45
2020-09-05 17:56:39,5.23,4.39,2.72
2020-09-05 17:57:10,6.52,3.24,1.81
2020-09-05 17:58:42,5.1,4.99,1.31
2020-09-05 18:12:58,6.95,4.94,1.67
2020-09-05 18:15:10,5.77,4.02,1.89
2020-09-05 18:15:29,6.5,4.26,2.49
2020-09-05 18:16:45,6.32,4.97,2.77
2020-09-05 18:17:30,5.31,3.63,1.26
2020-09-05 18:25:21,6.8,4.21,2.51
2020-09-05 18:28:23,5.42,3.99,2.49
2020-09-05 18:42:12,6.0,3.44,2.17
2020-09-05 18:46:03,5.36,3.45,2.61
2020-09-05 19:06:57,5.68,3.94,2.93
2020-09-05 19:07:03,5.1,4.83,2.54
2020-09-05 19:09:27,5.8,4.32,2.54
2020-09-05 19:10:55,6.05,4.34,1.95
2020-09-05 19:14:16,6.83,4.51,2.28
2020-09-05 19:15:25,6.86,4.37,1.11
2020-09-05 19:15:37,6.31,3.88,1.38
2020-09-05 19:21:02,6.09,4.49,2.5
2020-09-05 19:26:00,5.28,4.13,1.17
2020-09-05 19:37:24,5.22,3.07,1.72
2020-09-05 19:41:31,5.37,4.82,1.22
2020-09-05 19:43:49,6.56,3.27,2.43
2020-09-05 19:44:46,5.17,4.67,2.21
2020-09-05 19:45:07,6.21,4.84,2.13
2020-09-05 19:51:45,5.3,4.43,1.15
2020-09-05 19:52:15,5.95,3.79,2.79
2020-09-05 19:53:37,5.04,3.96,2.28
2020-09-05 19:56:21,5.75,3.07,2.04
2020-09-05 19:58:03,5.18,4.41,2.2
2020-09-05 20:08:03,6.17,3.08,2.03
2020-09-05 20:17:53,6.4,3.44,2.75
2020-09-05 20:23:55,5.41,3.86,2.73
2020-09-05 21:01:06,5.49,4.21,2.92
2020-09-05 21:05:20,6.58,4.56,1.09
2020-09-05 21:09:14,5.29,3.73,1.03
2020-09-05 21:26:08,6.95,3.79,1.26
2020-09-05 21:27:59,5.11,4.17,2.84
2020-09-05 21:39:34,6.62,4.13,2.89
2020-09-05 21:39:36,6.71,3.34,1.36
2020-09-05 21:40:09,5.39,4.51,1.75
2020-09-05 21:40:11,5.12,4.61,1.2
2020-09-05 21:40:41,6.36,3.72,1.6
2020-09-05 21:43:29,6.11,4.43,2.38
2020-09-05 21:44:24,5.71,3.61,2.51
2020-09-05 21:44:50,6.06,4.17,1.88
2020-09-05 21:51:08,6.88,3.28,1.69
2020-09-05 21:55:56,5.92,3.19,2.68
2020-09-05 21:58:46,5.09,4.94,1.84
2020-09-05 22:01:26,6.0,3.75,2.89
2020-09-05 22:03:03,6.34,3.04,1.22
2020-09-05 22:06:54,6.76,4.96,1.88
2020-09-05 22:15:47,6.77,3.7,1.69
2020-09-05 22:17:36,5.26,3.6,1.38
2020-09-05 22:19:11,6.94,4.47,1.65
2020-09-05 22:20:40,6.77,3.16,1.55
2020-09-05 22:26:19,5.8,3.96,1.97
2020-09-05 22:36:40,6.21,4.32,2.64
2020-09-05 22:37:24,6.22,4.36,1.9
2020-09-05 22:40:15,5.78,4.72,2.21
2020-09-05 22:50:35,5.94,3.38,1.35
2020-09-05 22:52:03,6.35,3.66,1.29
2020-09-05 23:03:44,6.77,3.19,1.56
2020-09-05 23:06:34,6.21,4.94,2.29
2020-09-05 23:15:11,6.08,3.05,2.58
2020-09-05 23:16:27,5.49,3.05,1.6
2020-09-05 23:20:19,6.57,4.83,1.22
2020-09-05 23:23:22,6.47,3.05,2.01
2020-09-05 23:24:49,5.14,4.43,1.87
2020-09-05 23:40:42,5.41,4.9,2.75
2020-09-05 23:42:26,5.45,3.09,2.2
2020-09-05 23:43:29,6.65,4.89,1.17
2020-09-05 23:44:51,6.27,3.65,2.2
2020-09-05 23:45:09,6.36,4.18,1.3
2020-09-05 23:45:51,6.71,4.49,2.9
2020-09-05 23:49:05,5.52,4.26,2.19
2020-09-06 00:00:46,5.56,3.23,1.91
2020-09-06 00:05:00,5.85,3.81,2.88
2020-09-06 00:08:54,5.83,3.8,2.5
2020-09-06 00:21:41,5.13,4.47,2.13
2020-09-06 00:37:57,6.03,4.68,1.22
2020-09-06 00:40:46,5.36,4.91,1.83
2020-09-06 00:58:17,5.4,4.04,1.46
2020-09-06 01:01:04,6.34,4.76,2.29
2020-09-06 01:12:49,6.72,3.21,1.14
2020-09-06 01:16:08,6.63,4.67,1.32
2020-09-06 01:21:34,5.06,3.54,2.12
2020-09-06 01:27:58,5.34,3.48,2.27
2020-09-06 01:28:31,5.77,3.06,1.63
2020-09-06 01:29:35,5.03,3.47,2.61
2020-09-06 01:35:19,5.74,3.07,1.11
2020-09-06 01:48:40,6.74,3.62,1.39
2020-09-06 01:48:54,6.14,4.5,2.57
2020-09-06 01:55:45,6.55,4.11,2.42
2020-09-06 01:57:31,5.91,3.89,2.68
2020-09-06 02:01:32,6.96,3.81,2.84
2020-09-06 02:04:43,5.88,4.67,1.51
2020-09-06 02:05:31,5.59,3.57,2.41
2020-09-06 02:05:34,5.87,3.25,2.82
2020-09-06 02:08:00,5.72,4.96,2.76
2020-09-06 02:13:30,6.78,3.49,1.0
2020-09-06 02:18:05,5.18,4.61,2.57
2020-09-06 02:19:35,6.45,4.56,1.61
2020-09-06 02:24:28,6.01,4.56,1.91
2020-09-06 02:40:38,6.45,3.27,2.98
2020-09-06 02:53:22,6.43,4.58,1.56
2020-09-06 03:00:26,6.87,4.91,1.66
2020-09-06 03:03:18,6.68,4.86,2.81
2020-09-06 03:06:53,6.47,4.21,2.64
2020-09-06 03:07:03,6.08,3.72,2.06
2020-09-06 03:09:33,6.48,4.95,2.18
2020-09-06 03:38:53,5.86,4.11,2.56
2020-09-06 03:49:16,5.11,3.56,1.91
2020-09-06 03:51:33,6.03,4.66,1.53
2020-09-06 03:54:03,5.31,3.36,2.49
2020-09-06 03:54:19,5.06,4.71,2.45
2020-09-06 03:55:39,5.53,3.46,1.93
2020-09-06 04:02:22,5.22,4.17,2.51
2020-09-06 04:04:35,5.48,4.98,2.84
2020-09-06 04:09:12,6.41,4.68,2.83
2020-09-06 04:09:12,6.53,4.12,1.49
2020-09-06 04:15:25,6.16,3.79,2.42
2020-09-06 04:22:23,6.62,5.0,1.19
2020-09-06 04:24:37,6.95,3.92,1.82
2020-09-06 04:31:44,5.45,4.42,2.64
2020-09-06 04:34:01,6.25,4.03,2.59
2020-09-06 05:06:39,6.48,3.96,1.11
2020-09-06 05:33:35,6.96,3.52,1.62
2020-09-06 05:39:23,5.86,4.48,2.59
2020-09-06 05:39:42,5.39,3.1,1.24
2020-09-06 05:40:07,5.13,3.84,2.65
2020-09-06 05:41:26,6.57,3.36,1.16
2020-09-06 05:45:59,5.96,3.82,1.34
2020-09-06 05:58:28,6.96,4.54,2.64
2020-09-06 06:10:36,6.72,4.68,1.3
2020-09-06 06:18:52,6.41,4.49,2.0
2020-09-06 06:22:45,6.36,3.53,2.13
2020-09-06 06:32:36,6.19,3.1,2.5
2020-09-06 06:34:40,5.67,4.36,2.4
2020-09-06 06:39:21,5.46,3.99,1.5
2020-09-06 06:39:48,5.95,4.47,2.58
2020-09-06 06:43:27,6.13,3.32,1.45
2020-09-06 06:46:18,6.95,3.23,2.58
2020-09-06 06:56:45,5.53,3.88,2.23
2020-09-06 07:11:59,6.39,3.45,1.16
2020-09-06 07:14:14,6.48,3.16,2.55
2020-09-06 07:20:06,6.48,4.24,1.58
2020-09-06 07:34:55,5.82,3.94,1.47
2020-09-06 07:45:58,5.94,3.74,2.03
2020-09-06 07:59:25,5.41,4.47,2.32
2020-09-06 08:03:35,6.08,4.03,1.59
2020-09-06 08:21:45,6.86,4.8,1.46
2020-09-06 08:23:45,5.15,3.88,1.94
2020-09-06 08:24:24,6.53,3.78,1.04
2020-09-06 08:40:04,6.71,3.97,2.29
2020-09-06 08:42:14,6.12,3.97,1.12
2020-09-06 08:44:54,5.48,3.68,1.83
2020-09-06 08:48:16,6.15,4.71,1.51
2020-09-06 08:51:27,6.97,3.2,2.81
2020-09-06 08:56:48,5.78,3.41,2.98
2020-09-06 08:57:09,5.92,4.13,1.62
2020-09-06 08:59:52,5.23,4.0,2.82
2020-09-06 09:03:39,6.89,3.34,1.88
2020-09-06 09:27:13,6.39,3.13,1.4
2020-09-06 09:29:06,5.99,3.42,1.26
2020-09-06 09:32:16,6.09,4.93,1.27
2020-09-06 09:37:21,5.55,3.78,1.6
2020-09-06 09:39:45,5.55,4.1,1.93
2020-09-06 09:56:57,5.75,3.28,2.24
2020-09-06 10:01:03,6.52,3.23,2.36
2020-09-06 10:25:14,6.92,3.39,1.39
2020-09-06 10:31:07,6.23,3.8,1.54
2020-09-06 10:34:36,6.79,3.96,2.59
2020-09-06 10:35:49,5.08,3.05,2.73
2020-09-06 10:40:33,5.35,4.02,1.84
2020-09-06 10:45:58,6.54,3.38,2.02
2020-09-06 10:48:45,6.65,4.99,1.12
2020-09-06 10:52:16,6.56,3.12,1.15
2020-09-06 10:55:17,5.47,3.52,1.6
2020-09-06 10:57:12,6.23,3.03,1.12
2020-09-06 10:59:37,6.61,3.99,2.56
2020-09-06 11:14:01,6.5,4.62,2.85
2020-09-06 11:15:12,7.0,4.06,2.68
2020-09-06 11:23:47,6.03,4.69,1.28
2020-09-06 11:31:16,5.38,3.3,1.95
2020-09-06 11:35:17,5.55,3.05,2.05
2020-09-06 11:35:51,5.46,3.91,2.0
2020-09-06 11:48:32,5.99,4.01,1.99
2020-09-06 11:51:42,5.29,4.24,2.23
2020-09-06 11:55:26,6.68,3.33,1.83
2020-09-06 12:04:07,6.63,4.3,1.87
2020-09-06 12:09:14,5.75,4.25,1.71
2020-09-06 12:09:26,5.85,4.81,2.32
2020-09-06 12:12:43,5.63,4.54,1.18
2020-09-06 12:18:14,5.74,4.37,2.31
2020-09-06 12:22:10,5.43,4.73,1.53
2020-09-06 12:22:14,5.47,4.66,2.88
2020-09-06 12:28:07,5.71,3.98,1.7
2020-09-06 12:29:44,6.89,3.7,2.43
2020-09-06 12:41:23,5.02,4.16,2.7
2020-09-06 12:50:57,6.34,3.78,1.96
2020-09-06 12:54:46,5.24,3.24,1.24
2020-09-06 13:11:24,6.62,3.43,1.56
2020-09-06 13:15:28,6.56,4.03,1.56
2020-09-06 13:25:08,5.58,3.54,2.15
2020-09-06 13:27:00,6.43,4.57,1.97
2020-09-06 13:28:19,5.87,4.55,1.29
2020-09-06 13:35:22,6.53,3.05,2.98
2020-09-06 13:46:10,5.38,3.68,2.27
2020-09-06 13:48:35,5.57,4.51,1.46
2020-09-06 13:54:10,6.14,3.66,2.35
2020-09-06 13:58:41,5.82,3.72,1.45
2020-09-06 14:03:05,5.93,3.44,2.14
2020-09-06 14:03:38,6.0,3.64,1.32
2020-09-06 14:07:20,5.33,3.77,2.84
2020-09-06 14:10:02,5.48,3.85,1.17
2020-09-06 14:18:47,5.55,3.79,1.77
2020-09-06 14:27:18,6.79,3.05,1.35
2020-09-06 14:27:59,6.67,4.76,2.8
2020-09-06 14:29:15,6.69,4.19,2.45
2020-09-06 14:33:29,6.44,4.9,2.73
2020-09-06 14:37:32,6.02,3.89,2.47
2020-09-06 14:46:20,5.52,4.83,1.14
2020-09-06 14:46:31,5.72,4.71,2.94
2020-09-06 14:47:52,5.83,4.84,1.67
2020-09-06 14:50:22,5.77,3.89,1.36
2020-09-06 14:50:39,6.65,4.24,2.59
2020-09-06 14:54:17,5.45,3.24,2.36
2020-09-06 14:55:45,5.9,3.29,1.3
2020-09-06 14:56:40,6.06,4.84,1.93
2020-09-06 14:59:39,6.09,4.38,2.53
2020-09-06 15:01:48,5.7,3.03,1.45
2020-09-06 15:02:25,6.34,4.01,2.87
2020-09-06 15:11:11,5.45,3.36,2.64
2020-09-06 15:15:26,6.55,3.09,1.25
2020-09-06 15:25:56,5.18,3.91,2.78
2020-09-06 15:45:49,6.2,3.55,2.99
2020-09-06 15:49:27,6.34,3.51,2.16
2020-09-06 15:50:25,5.94,3.5,1.43
2020-09-06 15:52:29,6.65,3.37,2.97
2020-09-06 16:05:48,6.71,3.0,2.78
2020-09-06 16:18:16,6.71,4.56,1.83
2020-09-06 16:18:43,5.29,4.48,1.06
2020-09-06 16:18:53,5.62,3.51,2.26
2020-09-06 16:20:41,6.95,3.87,2.49
2020-09-06 16:41:04,6.74,3.6,2.42
2020-09-06 16:41:27,6.12,3.78,2.55
2020-09-06 16:46:16,6.03,4.9,2.97
2020-09-06 16:49:04,5.28,3.55,2.86
2020-09-06 16:50:31,5.57,3.82,2.32
2020-09-06 16:53:52,5.1,4.09,2.22
2020-09-06 16:57:10,5.36,3.18,2.7
2020-09-06 16:57:12,5.44,3.18,1.22
2020-09-06 17:16:10,6.12,4.45,2.71
2020-09-06 17:22:52,5.14,4.83,2.8
2020-09-06 17:25:06,6.94,4.66,2.54
2020-09-06 17:32:32,6.88,4.96,2.2
2020-09-06 17:38:38,6.99,3.93,1.5
2020-09-06 17:42:02,6.88,4.52,2.31
2020-09-06 17:42:50,5.18,4.98,3.0
2020-09-06 17:48:29,6.5,3.1,1.86
2020-09-06 18:02:53,5.21,4.87,1.72
2020-09-06 18:04:02,6.06,4.46,2.38
2020-09-06 18:05:09,5.11,3.11,2.07
2020-09-06 18:11:55,5.23,4.51,2.54
2020-09-06 18:23:28,5.69,3.64,2.87
2020-09-06 18:28:29,7.0,4.22,2.8
2020-09-06 18:29:09,5.2,4.42,2.2
2020-09-06 18:31:56,5.35,4.75,1.04
2020-09-06 18:33:42,5.59,4.56,2.77
2020-09-06 18:39:41,5.35,3.07,2.81
2020-09-06 18:53:14,5.54,3.19,1.98
2020-09-06 18:53:44,6.22,4.02,2.59
2020-09-06 18:54:33,6.66,3.59,1.01
2020-09-06 19:07:54,5.82,4.8,2.32
2020-09-06 19:07:58,5.0,4.1,1.55
2020-09-06 19:11:59,6.78,3.78,1.61
2020-09-06 19:15:34,5.88,3.08,1.53
2020-09-06 19:20:54,6.39,4.33,1.02
2020-09-06 19:23:58,6.79,3.41,1.46
2020-09-06 19:26:26,5.59,3.4,1.94
2020-09-06 19:31:48,6.23,4.72,1.08
2020-09-06 19:35:39,5.73,4.79,2.27
2020-09-06 19:37:24,5.69,3.78,2.77
2020-09-06 19:44:36,6.6,3.89,2.48
2020-09-06 20:00:50,5.26,4.02,1.66
2020-09-06 20:10:15,5.18,3.01,2.32
2020-09-06 20:16:58,5.49,3.53,2.12
2020-09-06 20:19:21,5.43,4.41,1.44
2020-09-06 20:26:48,5.72,3.55,2.7
2020-09-06 20:56:03,5.83,4.55,2.58
2020-09-06 20:57:57,5.72,3.42,1.11
2020-09-06 21:10:22,6.56,3.99,1.63
2020-09-06 21:18:10,6.54,4.19,1.8
2020-09-06 21:20:09,5.95,3.09,1.34
2020-09-06 21:25:04,5.09,3.14,2.15
2020-09-06 21:29:05,6.71,4.66,1.16
2020-09-06 21:32:14,5.21,4.56,1.1
2020-09-06 21:34:16,5.39,3.7,1.74
2020-09-06 21:34:51,6.08,3.77,1.55
2020-09-06 21:35:34,6.59,3.18,1.06
2020-09-06 21:41:43,6.99,4.61,2.12
2020-09-06 21:42:23,5.65,4.28,2.07
2020-09-06 21:42:57,5.85,4.52,2.99
2020-09-06 22:02:52,6.66,4.87,1.3
2020-09-06 22:04:13,5.07,4.65,2.89
2020-09-06 22:07:54,6.38,4.18,2.81
2020-09-06 22:23:12,5.85,4.0,1.83
2020-09-06 22:34:48,6.99,3.22,1.71
2020-09-06 22:39:13,6.02,4.58,1.99
2020-09-06 22:50:09,5.76,3.37,2.53
2020-09-06 22:50:56,6.38,4.89,2.78
2020-09-06 22:57:20,6.92,4.05,2.17
2020-09-06 22:57:34,6.53,4.09,1.25
2020-09-06 23:06:20,6.74,4.06,1.3
2020-09-06 23:08:35,6.51,3.97,1.44
2020-09-06 23:11:17,6.95,3.14,1.37
2020-09-06 23:17:25,5.82,3.25,1.57
2020-09-06 23:20:23,5.37,4.82,2.55
2020-09-06 23:25:55,6.0,4.67,1.82
2020-09-06 23:30:57,6.96,3.56,2.25
2020-09-06 23:34:09,6.6,4.58,2.55
2020-09-06 23:38:13,6.49,4.36,1.43
2020-09-06 23:47:38,6.51,3.99,1.59
2020-09-06 23:53:32,6.47,3.37,2.56
2020-09-07 00:10:34,5.59,3.8,2.66
2020-09-07 00:21:47,6.33,4.63,1.78
2020-09-07 00:39:23,5.06,3.51,1.03
2020-09-07 00:41:03,6.04,4.03,1.63
2020-09-07 00:45:51,6.03,3.17,1.89
2020-09-07 00:53:06,5.73,4.94,2.28
2020-09-07 01:01:25,5.14,4.14,2.28
2020-09-07 01:23:20,5.72,3.44,1.48
2020-09-07 01:37:26,5.13,4.25,2.4
2020-09-07 01:58:17,6.27,4.14,2.02
2020-09-07 02:07:03,6.27,4.01,2.25
2020-09-07 02:21:36,5.16,4.1,1.71
2020-09-07 02:28:34,6.99,3.94,1.81
2020-09-07 02:34:02,6.25,3.16,1.06
2020-09-07 02:39:24,6.73,4.27,2.87
2020-09-07 02:43:43,5.43,4.46,1.0
2020-09-07 02:51:19,5.86,4.77,1.14
2020-09-07 03:01:58,6.18,4.67,1.11
2020-09-07 03:07:05,6.68,4.45,1.11
2020-09-07 03:23:07,5.23,3.67,1.78
2020-09-07 03:25:49,5.28,4.68,1.17
2020-09-07 03:28:09,5.02,3.14,1.76
2020-09-07 03:33:34,5.04,4.1,2.94
2020-09-07 03:33:35,5.22,3.99,1.31
2020-09-07 03:37:09,5.13,3.45,1.45
2020-09-07 03:37:57,6.43,4.21,2.01
2020-09-07 03:41:40,5.51,3.15,1.22
2020-09-07 03:46:33,5.56,3.23,1.98
2020-09-07 03:48:09,6.23,4.52,2.14
2020-09-07 03:50:32,6.26,4.09,1.17
2020-09-07 03:59:51,6.78,4.26,2.1
2020-09-07 04:14:21,6.74,3.17,2.08
2020-09-07 04:16:15,5.5,3.16,1.56
2020-09-07 04:17:40,6.41,3.55,2.61
2020-09-07 04:22:12,5.25,3.32,2.88
2020-09-07 04:40:04,5.18,4.48,1.59
2020-09-07 04:53:18,6.93,4.73,1.66
2020-09-07 05:00:34,5.16,4.22,1.86
2020-09-07 05:02:58,6.19,3.06,1.99
2020-09-07 05:03:47,6.51,3.61,2.79
2020-09-07 05:10:58,5.74,3.27,1.68
2020-09-07 05:29:46,5.13,4.78,1.07
2020-09-07 05:31:25,5.97,4.4,2.5
2020-09-07 05:32:00,6.42,3.2,2.32
